ID,_case27_listing_type,Title,Content,_job_phone,_whatsapp,_fone-2,_job_location,_listing-details,_location,_links,_social-networks,_job_website,_job_email,_job_logo,_job_expires,_job_gallery,_job_cover,_form_heading,_other
1357,place,"Letabela Grill","<strong>Letabela Grill</strong>
Restaurante, Pizzaria, Churrascaria e eventos.🍽
Abertos todos dias de:
11h as 14h | 19h as 23h
Clique no link abaixo, e faça seu pedido! 👇🏻
<a href=""http://letabela.poppedidos.com.br"" target=""_blank"" rel=""noopener"">letabela.poppedidos.com.br</a>","(38) 3676-6262","(38) 99726-6759","(38) 3676-5111","Rua Nossa Senhora do Carmo, 256 - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:38:""https://www.instagram.com/letabelaunai"";}}",,,,"a:1:{i:0;s:80:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_logo.png"";}",,"a:15:{i:0;s:88:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letbela_fotos_fachada.jpg"";i:1;s:83:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-1.jpg"";i:2;s:83:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-3.jpg"";i:3;s:83:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-7.jpg"";i:4;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-10.jpg"";i:5;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-11.jpg"";i:6;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-15.jpg"";i:7;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-17.jpg"";i:8;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-23.jpg"";i:9;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-24.jpg"";i:10;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-26.jpg"";i:11;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-46.jpg"";i:12;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-13.jpg"";i:13;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-38.jpg"";i:14;s:84:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_fotos-42.jpg"";}","a:1:{i:0;s:78:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_letabela_bg.png"";}",,
1358,place,"Líder Cosméticos",,"(38) 3676-6993",,,"Avenida José Luiz Adjuto, 449 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1359,place,"Líder Eletrônica",,"(38) 3676-5620",,,"Rua Aldeia, 332 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1360,place,"Líder Embreagem",,"(38) 3677-5001",,,"Avenida São João, 80 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1361,place,"Linken Conservas",,"(38) 3677-3874",,,"Rua Canabrava, 316 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1362,place,"Lilás Moda Festa",,"(38) 3677-4549",,,"Rua Virgílio Justiniano Ribeiro, 1632 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1363,place,"Livraria Corujão do Cerrado",,"(38) 3676-4122",,,"Rua Djalma Torres, 44 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1364,place,"Livraria Cristo Rei",,"(38) 3676-4901",,,"Rua Roncador, 330 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1365,place,"Livraria Material Pedagógico e Papelaria Athena",,"(38) 3677-4316",,,"Rua Nossa Senhora do Carmo, 245 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1366,place,"Livraria e Papelaria Nossa Senhora Aparecida",,"(38) 3676-2031",,,"Avenida Governador Valadares, 1161 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1367,place,"Livraria Filhos da Misericórdia Artigos Religiosos",,"(38) 3676-0811",,,"Rua José do Patrocínio, 329 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1368,place,"Livraria São José",,"(38) 3677-6265",,,"Avenida Governador Valadares, 1161 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1369,place,"Lizon Confecções",,"(38) 3676-3533",,,"Avenida Governador Valadares, 837 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1370,place,"LK Bijuteria e Acessórios",,"(38) 3676-5233",,,"Avenida Governador Valadares, 1214 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1372,place,"Locação de Equipamentos para Terraplenagem - Terra Construtora",,"(38) 3676-6737",,,"Rua Aldeia, 255 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1373,place,"Lenna Dios - Locação e Venda de Trajes Femininos",,"(38) 99981-3304",,"(38) 99926-1067","Rua Aldeia, 156 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1374,place,"Localiza - Locadora de Veículos",,"(38) 3676-3999",,,"Praça São Cristóvão, 107 - Centro - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:7:""Website"";s:3:""url"";s:16:""www.localiza.com"";}}",,www.localiza.com,,a:0:{},,a:0:{},a:0:{},,
1375,place,"CJ Locadora - Alguel de Mesas, Cadeiras, Freezers e Caixas Térmicas",,"(38) 99909-9548",,"(38) 99978-9824","Avenida Tancredo Neves, 687 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1376,place,"Locar Veículos",,"(38) 3676-1590",,,"Avenida Governador Valadares, 1610 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1377,place,"Locavel Locadora de Veículos",,"(38) 3676-0600",,"(38) 99942-7535","Rua Alba Gonzaga, 510 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1378,place,"Loctec - Assistência Técnica Autorizada Makita",,"(38) 3676-9291",,,"Rua Prefeito João Costa, 990 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1379,place,"Loja da Borracha",,"(38) 3676-1727",,,"Rua Paracatu, 5 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1380,place,"Loja do Telefone",,"(38) 3676-9293",,,"Rua Alba Gonzaga, 342 A - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1381,place,"Loja do Zezinho",,"(38) 3676-2625",,,"Avenida Governador Valadares, 641 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1382,place,"Loja Maçonica Mestres do Rio Preto",,"(38) 3676-2546",,,"Rua Nossa Senhora do Carmo, 349 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1383,place,"Visual Modas",,"(38) 3676-4143",,,"Avenida Governador Valadares, 932 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1384,place,"Loja Maçonica Simb Acácia Unaiense",,"(38) 3676-5353",,,"Avenida Governador Valadares, 3233 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1385,place,"Max Presentes e Acessórios",,"(38) 3676-8907",,,"Avenida Governador Valadares, 485 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1386,place,"Lonas - RBE Lonas",,"(38) 3677-2221",,,"Rodovia Br 251, KM 97 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1388,place,"Loteria Caminho da Sorte",,"(38) 3676-4042",,,"Avenida Governador Valadares, 786 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1389,place,"Loteria Casa da Fortuna",,"(38) 3676-1423",,,"Rua São José, 163 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1390,place,"Loteria Cristal da Sorte",,"(38) 3676-2433",,,"Rua Professor Olímpio Gonzaga, 250 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1391,place,"Loteria Quina de Ouro",,"(38) 3676-1102",,"(38) 3676-7775","Avenida Castelo Branco, 28 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1392,place,"Loteria Trevo da Sorte",,"(38) 3676-3661",,,"Rua Celina Lisboa Frederico, 282 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1393,place,"Loterias Columbia",,"(38) 3676-5084",,,"Rua Canabrava, 1240 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1395,place,"Agro Óleo","<strong>Agro Óleo Unaí</strong>

Serviço de Troca de Óleo e Filtro em Unaí - MG

Desde 1998, oferecendo  os melhores tipos de:
<ul>
 	<li>Lubrificantes</li>
 	<li>Filtros</li>
 	<li>Graxas</li>
 	<li>Flúidos e aditivos</li>
</ul>
Agende seu Horário !🚗💨
<strong><a href=""http://agrooleo.com.br/"">http://www.agrooleo.com.br</a></strong>","(38) 3677-7333","(38) 3677-7333",,"Rua Capim Branco, 18 - Barroca - Unaí, MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:35:""https://www.instagram.com/agro_oleo"";}}",,http://agrooleo.com.br,,"a:1:{i:0;s:78:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-logo.jpg"";}",,"a:12:{i:0;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-01.jpg"";i:1;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-02.jpg"";i:2;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-03.jpg"";i:3;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-04.jpg"";i:4;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-05.jpg"";i:5;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-06.jpg"";i:6;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-07.jpg"";i:7;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-08.jpg"";i:8;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-09.jpg"";i:9;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-10.jpg"";i:10;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-11.jpg"";i:11;s:82:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agro-oleo-fotos-12.jpg"";}","a:1:{i:0;s:75:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-agrooleo-bg.jpg"";}",,
1396,place,"Lubrizabel - Lubrificantes",,"(38) 3676-8667",,"(38) 3676-8725","Rua Virgílio Justiniano Ribeiro, 256 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1397,place,"Lubrificantes Posto Capim Branco",,"(38) 3676-7518",,,"Rua Celina Lisboa Frederico, 30 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1398,place,"Lubrificantes Posto Planalto",,"(38) 3676-2781",,"(38) 3676-1462","Avenida Governador Valadares, 1312 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1399,place,"Lubrificantes Posto Santa Rita",,"(38) 3676-0222",,,"Rua Juvêncio Correio, 144 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1400,place,"Lubrificantes Posto SB",,"(38) 3677-5030",,"(38) 3677-5040","Rua Virgílio Justiniano Ribeiro, 1180 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1401,place,"Luana Presentes",,"(38) 3676-7025",,,"Avenida Governador Valadares, 784 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1402,place,"Madeireira Menezes","<strong>Madeireira Menezes Unaí</strong>
Empresa de varejo
30 anos de tradição
🪵Madeiras em Geral
🌳 Respeitando a natureza do seu projeto
🪑 Fabricação própria
☎️ (38) 3676-6464
👇🏼 Entre em contato no WhatsApp
<a href=""http://api.whatsapp.com/send?phone=5538999422625"" target=""_blank"" rel=""noopener"">api.whatsapp.com/send?phone=5538999422625</a>","(38) 99942-2625","(38) 9942-2625",,"Avenida São João, 765 - Divinéia - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:47:""https://www.instagram.com/madeireiramenezesunai"";}}",,,,"a:1:{i:0;s:91:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-madeireira-menezes-logo.jpg.jpg"";}",,a:0:{},a:0:{},,
1404,place,"Mais Comunicação",,"(38) 3676-7630",,,"Rua Juvêncio Correio, 331 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1407,place,"Madeireira Irmãos Braga","<strong>Madeireira Irmãos Braga</strong>
🪵Produtos de qualidade é aqui!
📍| Rua dos diamantes 400, Capim Branco II
Faça já o seu orçamento conosco ⬇️","(38) 3677-2037","(38) 99913-2000","(38) 99913-2000","Rua Diamantes, 317 - Capim Branco II - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:48:""https://www.instagram.com/madeireira_irmaosbraga"";}}",,,,"a:1:{i:0;s:92:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-madeireira-irmaos-braga-logo.jpg"";}",,a:0:{},a:0:{},,
1409,place,"Madeireira São Luiz",,"(38) 3676-3309",,,"Avenida José Luiz Adjuto, 1219 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1410,place,"Madeireira São Salvador",,"(38) 3676-1209",,,"Rua Juvêncio Correio, 65 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1411,place,"Mãe Bebê",,"(38) 3676-9600",,,"Rua Canabrava, 41 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1412,place,"Magazine Ana Júlia",,"(38) 3676-9066",,,"Rua Rio Preto, 35 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1413,place,"Magazine da Criança",,"(38) 3676-9444",,,"Avenida Governador Valadares, 659 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1415,place,"Maísa Móveis",,"(38) 3676-1386",,"(38) 3676-4380","Avenida Governador Valadares, 759 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1416,place,"Maison Moda Íntima",,"(38) 3676-3636",,,"Rua Celina Lisboa Frederico, 68 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1417,place,"Mania de Sapato",,"(38) 3676-3225",,,"Rua Nossa Senhora do Carmo, 269 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1418,place,"Mania de Telefone - Venda e Assistência Técnica",,"(38) 3676-2542",,,"Avenida Castelo Branco, 37 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1419,place,"Premoldados Rio Preto - Manilhas Blocos de Concreto",,"(38) 3676-3906",,,"Rod Mg 188, Ao lado Trevo Mamoeiro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1420,place,"Maqcampo - Concessionário Autorizado John Deere",,"(38) 3677-5777",,"(38) 3677-5688","Rod Mg 188, 333 - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:7:""Website"";s:3:""url"";s:20:""www.maqcampo.com.br/"";}}",,www.maqcampo.com.br/,,a:0:{},,a:0:{},a:0:{},,
1421,place,"Mercantil Regional Tratores - Máquinas Agrícolas",,"(38) 3676-9015",,"(38) 3676-1135","Rua Arlindo Gomes Branquinho, 501 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1422,place,"Associação Mão Amiga",,"(38) 3677-6006",,,"Rua Jacanã, 328 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1423,place,"Manuscrito Letreiros Placas e Faixas",,"(38) 3676-3839",,,"Rua Alba GonzagaUnaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1424,place,"Safra Tratores - Máquinas Agrícolas",,"(38) 2102-2102",,"(38) 2102-2110","Avenida Castelo Branco, 621 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1425,place,"Marcenaria do Divino Lima",,"(38) 3676-8870",,,"Avenida Governador Valadares, 2705 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1426,place,"Marcenaria do Marcelo","<strong>Marcenaria Marcelo</strong>
<strong>Empresa industrial</strong>
📐Indústria de móveis planejados
📝Orçamentos (38) 98801-9114
(38) 3676-8582","(38) 3676-8582","(38) 98801-9114",,"Av. Cabo Verde, 940 - Água Branca II - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:55:""https://www.instagram.com/marcenariadomarceloplanejados"";}}",,,,"a:1:{i:0;s:87:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-marcenaria-marcelo-logo.jpg"";}",,a:0:{},a:0:{},,
1427,place,"Marcenaria JN",,"(38) 3676-8304",,,"Rua Francisco R. da Silva, 147 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1428,place,"Marcenaria Minas Móveis",,"(38) 3676-4917",,,"Avenida Governador Valadares, 486 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1429,place,"Marcenaria Minas Móveis - Fábrica",,"(38) 99118-7560",,,"Avenida José Luiz Adjuto, 1343 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1430,place,"Marcenaria Mineira",,"(38) 3677-5945",,,"Rua Dores do Indaiá, 351 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1431,place,"Marcenaria São José",,"(38) 3676-9284",,,"Rua José Marciano Pinto, 460 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1432,place,"Shell Móveis - Marcenaria",,"(38) 3676-0413",,,"Rua Djalma Torres, 1881 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1433,place,"Marcenaria Só Móveis",,"(38) 3676-0803",,,"Rua Roncador, 31 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1434,place,"Marcenaria Três Irmãos",,"(38) 3676-5249",,,"Rua Domingos Pinto Brochado, 1100 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1435,place,"Marmoraria Brasil",,"(38) 3676-3553",,"(38) 3676-7101","Avenida São João, 780 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1436,place,"Marmoraria Granifort","<strong>MARMORARIA GRANIFORT</strong>
🟠Mármore, Granito, Porcelanatos com acabamento refinado e de qualidade.
🤳(38) 99907-6580
3676-6868 /3676-1530
<a href=""http://api.whatsapp.com/send?phone=5538999076580"" target=""_blank"" rel=""noopener"">api.whatsapp.com/send?phone=5538999076580</a>","(38) 3676-6868","(38) 9907-6580",,"Avenida São João, 294 - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:40:""https://www.instagram.com/granifort_unai"";}}",,,,"a:1:{i:0;s:65:""https://guiaunai.com.br/wp-content/uploads/2021/08/1585892535.jpg"";}",,a:0:{},a:0:{},,
1437,place,"Marmoraria Porto Gran",,"(38) 3676-6734",,,"Avenida Governador Valadares, 2135 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1438,place,"Marmoraria Unamar",,"(38) 3676-2095",,,"Rua Cachoeira, 822 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1439,place,"Maromba Seguros",,"(38) 3676-2202",,,"Rua Djalma Torres, 454 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1440,place,"Martelinho de Ouro",,"(38) 3676-8163",,,"Avenida Governador Valadares, 1808 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1441,place,"Martins Carneiro Empreendimentos Imobiliários",,"(38) 3676-3637",,,"Avenida Governador Valadares, 346 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1442,place,"Master Cabo - Internet TV a Cabo",,"(38) 3677-2000",,,"Rua Nossa Senhora do Carmo, 257 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1443,place,"Cosnstrutora Casa Nova","Construção e Venda de Imóveis","(38) 99938-6862","(38) 99938-6862",,"Av. Governador Valadares, 2332 - Divinéia - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1444,place,"Jomar Tintas",,"(38) 3676-5434",,"(38) 3676-1121","Rua Prefeito João Costa, 1041 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
1445,place,"Império Ferragens",,"(38) 3676-6916",,,"Rua Virgílio Justiniano Ribeiro, 159 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,
